id,song_normalized,artist_normalized,lyrics,is_hit,decade
1bpaA5Pn4jlo1cRAOBNQnh,golden lady,stevie wonder,"Looking in your eyes
Kind of heaven eyes
Closing both my eyes
Waiting for surprise
To see the heaven in your eyes is not so far
'Cause I'm not afraid to try and go it
To know the love and the beauty never known before
I'll leave it up to you to show it

And golden lady, golden lady
I'd like to go there
Golden lady, golden lady
I'd like to go there
Take me right away

Looking at your hands
Hands can understand
Waiting for the chance
Just to hold your hand
A touch of rain and sunshine made the flower grow
Into a lovely smile that's blooming
And it's so clear to me that you're a dream come true
There's no way that I'll be losing

And golden lady, golden lady
I'd like to go there
Golden lady, golden lady
I'd like to go there
Take me right away

A touch of rain and sunshine made the flower grow
Into a lovely smile that's blooming
And it's so clear to me that you're my dream come true
There is no way that I'll be losing

Golden lady, golden lady
I'd like to go there
Golden lady, golden lady
I'd like to go there
Golden lady, golden lady
I'd like to go there
Golden lady, golden lady
I'd like to go there

Golden lady, golden lady
I'd like to go there
Golden lady, golden lady
I'd like to go there
Golden lady, golden lady
I'd like to go there
Golden lady, golden lady
I'd like to go there",0,1970s
7oNu4gShXbbM1GBJtfJucq,insight 2007 remaster,joy division,"Guess your dreams always end
They don't rise up, just descend
But I don't care anymore
I've lost the will to want more
I'm not afraid not at all
I watch them all as they fall
But I remember when we were young
Those with habits of waste
Their sense of style and good taste
Of making sure you were right
Hey, don't you know you were right?
I'm not afraid anymore
I keep my eyes on the door
But I remember
Tears of sadness for you
More upheaval for you
Reflects a moment in time
A special moment in time
Yeah, we wasted our time
We didn't really have time
But we remember when we were young
And all God's angels beware
And all you judges beware
Sons of chance, take good care
For all the people not there
I'm not afraid anymore
I'm not afraid anymore
I'm not afraid anymore
Oh, I'm not afraid anymore",0,1970s
3PNOYDruQplC92lNc7mE9W,makes me wonder,maroon 5,"I wake up, blood-shot eyes
Struggled to memorize
The way it felt between your thighs
Pleasure that made you cry

It feels so good to be bad
Not worth the aftermath, after that, after that
Try to get you back

I still don't have a reason
And you don't have the time
And it really makes me wonder
If I ever gave a fuck about you

Give me something to believe in
'Cause I don't believe in you anymore, anymore
I wonder if it even makes a difference to try
Yeah, so, this is goodbye

God damn, my spinning head
Decisions that made my bed
Now I must lay in it
And deal with things I've left unsaid

I want to dive into you
Forget what you're going through
I get behind, make your move
Forget about the truth

I still don't have a reason
And you don't have the time
And it really makes me wonder
If I ever gave a fuck about you

Give me something to believe in
'Cause I don't believe in you anymore, anymore
I wonder if it even makes a difference
It even makes a difference to try

And you told me how you're feeling
But I don't believe it's true anymore, anymore
I wonder if it even makes a difference to cry
Oh, no, so, this is goodbye

Ooh, I've been here before
One day I'll wake up and it won't hurt anymore
You caught me in a lie, I have no alibi
The words you say don't have a meaning

'Cause I still don't have a reason
And you don't have the time
And it really makes me wonder
If I ever gave a fuck about you and I
And so, this is goodbye

Give me something to believe in
'Cause I don't believe in you anymore, anymore
I wonder if it even makes a difference
It even makes a difference to try, yeah

And you told me how you're feeling
But I don't believe it's true anymore, anymore
I wonder if it even makes a difference to cry
Oh, no, so, this is goodbye

Oh, no, so, this is goodbye
Oh, no, yeah, so, this is goodbye
Oh, no, yeah, so, this is goodbye",1,2000s
3EH15Nl5pho0XrIqmOmbno,maybe im a fool,eddie money,"Na, na, na, na, na
Na, na, na, na, na
Oh, whoa

I've been standing here, for oh so long
Tryin' to figure out, girl, where we went wrong
Standing here, on the edge of time
Waiting for you, baby, I might change your mind

But maybe I'm a fool still loving you
Oh and maybe I'm wrong for still hanging on

'Cause you and me took the love so far
Had a beautiful thing that somehow went wrong
A whole lotta laughs have turned into tears
Turn your head around, we've been through some years

And maybe I'm a fool for still loving you
And maybe I'm wrong for still hanging on
Maybe I'm a fool and maybe you're right
But I'll never really change, and I don't wanna fight

You say, ""No, no, no, no""
You keep saying, ""No, not now""
I say, ""Yeah, yeah, yeah, yeah"" (yeah, yeah, yeah, yeah)
You keep no, no, no, no
But I can't let you go now, baby
You got mad, I got mad, don't we really care?

Well now, maybe I'm a fool (maybe I'm a fool)
For still loving you (for still loving you)
And maybe I'm wrong (maybe I'm wrong) 'cause I'm still hanging on
And maybe I'm a fool (maybe I'm a fool)
And maybe you're right (and maybe you're right)
But I'll never really change, and I don't wanna fight

Maybe, maybe, baby, baby I'm a fool
Maybe, maybe, maybe, I should stop loving you
Huh, maybe I'm a fool, for still loving you
Oh, maybe I'm wrong, for still hanging on, I say

Na, na, na, na, na
Na, na, na, na, na
Oh, whoa
I wanna say again

Na, na, na, na, na
Na, na, na, na, na
Oh, whoa",0,1970s
3ZffCQKLFLUvYM59XKLbVm,wake me up when september ends,green day,"Summer has come and passed
The innocent can never last
Wake me up when September ends

Like my father's come to pass
Seven years has gone so fast
Wake me up when September ends

Here comes the rain again
Falling from the stars
Drenched in my pain again
Becoming who we are

As my memory rests
But never forgets what I lost
Wake me up when September ends

Summer has come and passed
The innocent can never last
Wake me up when September ends

Ring out the bells again
Like we did when spring began
Wake me up when September ends

Here comes the rain again
Falling from the stars
Drenched in my pain again
Becoming who we are

As my memory rests
But never forgets what I lost
Wake me up when September ends

Summer has come and passed
The innocent can never last
Wake me up when September ends

Like my father's come to pass
20 years has gone so fast
Wake me up when September ends

Wake me up when September ends
Wake me up when September ends",1,2000s
7twmS6bdoUPPZliJ0Ys5vD,obscurity knocks,trashcan sinatras,"Always at the foot of the photograph
That's me there, snug as a thug
In a mugshot pose, a foul-mouthed rogue
Owner of this corner and not much more

Still these days I'm better placed
To get my just rewards
I'll pound out a tune and very soon
I'll have too much to say and a dead stupid name

And though I ought to be learning I feel like a veteran
Of ""oh, I like your poetry but I hate your poems""
Calendars crumble, I'm knee deep in numbers
I've turned 21, I've twist, I'm bust and wrong again

Rubbing shoulders with the sheets till two
Looking at my watch and I'm half-past caring
In the lap of luxury, it comes to mind
Is this headboard hard? Am I a lap behind?

But to face doom in a sock-stenched room
All by myself
Is the kind of fate I never contemplate
Lots of people would cry, though none spring to mind

And though I ought to be learning I feel like a veteran
Of ""oh, I like your poetry but I hate your poems""
Calendars crumble, I'm knee deep in numbers
I've turned 21, I've twist, I'm bust and wrong again

Know what it's like to sigh at the sight
Of the first quarter of life?
Ever stopped to think and found out nothing was there?

They laugh to see such fun
I'm playing blind man's bluff all by myself
And they're chanting a line from a nursery rhyme
""Ba ba bleary eyes – have you any idea?""

Years of learning I must be a veteran
Of ""oh, I like your poetry but I hate your poems""
And the calendar's cluttered with days that are numbered
I've turned 21, I've twist, I'm bust and wrong again

(Ought to be learning)
Twist, I'm bust and wrong again
(Feel like a veteran)
Twist, I'm bust and wrong again
(Calendar's cluttered)
With (days that are numbered)
Ooh, and I know what it's like to sigh at the sight
Of the first quarter of life
I know what it's like",0,1990s
3K5T2WG4s6TujL5IgEKTec,love minus zerono limit live,eliza gilkyson,"My love she speaks like silence
Without ideals or violence
She doesn't have to say she's faithful
Yet she's true, like ice, like fire
People carry roses
And make promises by the hours
My love she laughs like the flowers
Valentines can't buy her
In the dime stores and bus stations
People talk of situations
Read books, repeat quotations
Draw conclusions on the wall
Some speak of the future
My love she speaks softly
She knows there's no success like failure
And that failure's no succes at all
The cloak and dagger dangles
Madams light the candles
In ceremonies of the horsemen
Even the pawn must hold a grudge
Statues made of match sticks
Crumble into one another
My love winks, she does not bother
She knows too much to argue or to judge
The bridge at midnight trembles
The country doctor rambles
Bankers' nieces seek perfection
Expecting all the gifts that wise men bring
The wind howls like a hammer
The night blows rainy
My love she's like some raven
At my window with a broken wing",0,2000s
6SnWmB6AQk69RQy8SCLiRS,red dog,goodie mob,"*Knock knock knock* WHO IZIT?
Hey man, it's straight shoota man
Man how many times bro?
Hit me three times man, let me see them talkin
Aight
Aight brutha
*BOOM*
This is the Red Dog police department!
Just get on the ground!
Get down and get your god damn!
Get your hands across your head!
Get your god damn hands...",0,1990s
2AS1gKdDYjITVD5oPqYqd1,elvira,the oak ridge boys,"Elvira, Elvira
My heart's on fire for Elvira

Eyes that look like heaven, lips like sherry wine
That girl can sure enough make my little light shine
I get a funny feelin', up and down my spine
'Cause I know that my Elvira's mine

So I'm singin', Elvira, Elvira
My heart's on fire, for Elvira
Giddy up, oom poppa, omm poppa, mow mow
Giddy up, oom poppa, omm poppa, mow mow, heigh-ho Silver, away

Tonight I'm gonna meet her, at the Hungry House Cafe
And I'm gonna give her all the love I can, yes I am
She's gonna jump and holler, 'cause I've saved up my last two dollars
We're gonna search and find that preacher man

Now I'm a singin' Elvira, Elvira
My heart's on fire for Elvira
Giddy up, oom poppa, omm poppa, mow mow
Giddy up, oom poppa, omm poppa, mow mow, heigh-ho Silver, away

Elvira, Elvira
My heart's on fire for Elvira
Giddy up, oom poppa, omm poppa, mow mow
Giddy up, oom poppa, omm poppa, mow mow, heigh-ho Silver, away

Elvira, Elvira
My heart's on fire for Elvira
Giddy up, oom poppa, omm poppa, mow mow
Giddy up, oom poppa, omm poppa, mow mow, heigh-ho Silver, away
Elvira, Elvira
My heart's on fire for Elvira",1,2010s
1bFdGbeq9H2svE9bOpGlcD,papal visit,the fall,"Hosannah
First impressions...
Hosannah
Papal did visit, human trash
Waste
Prostrate, yellow-white umbrellas
Roam around
Universal love.for them... for the...
Papal visit
Human trash roam the town
Woke up by hosannah
Helicopters strip the land
First impressions will be the last
Woke up at 2
The man from iron
What happened to the man from iron
Mediator one
Human trash
Come for the visit
Eating lay bread
From what they come to call it
Sound like a yokel
For the first time
First impression will be the last
(Pope stuff continues...)
Peace resounds
Lay bread
Is in the nose and mouth
For the first time
In the assassin line
Papal visit
In the town
For the first time
Understood the assassin line
Is all around",0,1980s
